binsPerDimension,condition,profile,item,mass,normalizedMass
4,scarcity,edge_flux,1.2.1.0->1.2.1.0,0.0,0.0
4,scarcity,edge_flux,1.2.1.1->1.2.1.1,0.0024344715863736373,0.0025292020015857987
4,scarcity,edge_flux,1.2.1.2->1.2.1.2,0.0,0.0
4,scarcity,edge_flux,1.2.1.3->1.2.1.3,0.0,0.0
4,scarcity,edge_flux,1.2.2.1->1.2.2.1,0.0,0.0
4,scarcity,edge_flux,1.2.2.2->1.2.2.2,0.0008384408861720096,0.0008710663863924655
4,scarcity,edge_flux,2.0.1.1->2.0.1.1,0.004727737009194305,0.004911703210484831
4,scarcity,edge_flux,2.0.1.1->2.0.2.1,0.009454534558896041,0.009822430405130202
4,scarcity,edge_flux,2.0.1.1->2.1.1.1,0.000748879906768268,0.0007780204007092454
4,scarcity,edge_flux,2.0.1.2->2.0.1.2,0.0,0.0
4,scarcity,edge_flux,2.0.2.1->2.0.2.1,0.0,0.0
4,scarcity,edge_flux,2.1.0.0->2.1.0.0,0.006260749953640687,0.0065043689163624295
4,scarcity,edge_flux,2.1.0.1->2.1.0.1,0.019092618727200368,0.019835552721434956
4,scarcity,edge_flux,2.1.0.1->2.1.1.1,0.0017847597045264289,0.0018542084624458299
4,scarcity,edge_flux,2.1.0.2->2.1.0.1,0.0047332539047328075,0.004917434780044575
4,scarcity,edge_flux,2.1.0.2->2.1.0.2,0.012568244429282938,0.01305730128249822
4,scarcity,edge_flux,2.1.1.0->2.1.1.0,0.009041893010530627,0.009393732105300019
4,scarcity,edge_flux,2.1.1.1->1.1.1.0,0.0005463917272442628,0.0005676529797805637
4,scarcity,edge_flux,2.1.1.1->1.1.1.1,0.005148103304109174,0.005348426843017183
4,scarcity,edge_flux,2.1.1.1->2.1.0.1,0.0024216931722443806,0.0025159263524577877
4,scarcity,edge_flux,2.1.1.1->2.1.1.1,0.29127671087686574,0.3026109009809696
4,scarcity,edge_flux,2.1.1.1->2.1.1.2,0.008942125402809203,0.009290082329901193
4,scarcity,edge_flux,2.1.1.1->2.1.2.1,0.006431960686472168,0.006682241819293035
4,scarcity,edge_flux,2.1.1.2->2.1.0.2,0.010208817883636862,0.010606064482182223
4,scarcity,edge_flux,2.1.1.2->2.1.1.1,0.0072163044823939275,0.007497106083752047
4,scarcity,edge_flux,2.1.1.2->2.1.1.2,0.12048804767553137,0.12517649129848932
4,scarcity,edge_flux,2.1.1.2->2.1.2.2,0.008790248386277554,0.009132295458878836
4,scarcity,edge_flux,2.1.1.3->2.1.1.2,0.0010335195823917077,0.0010737360054207828
4,scarcity,edge_flux,2.1.1.3->2.1.1.3,0.0,0.0
4,scarcity,edge_flux,2.1.2.0->2.1.2.0,0.0,0.0
4,scarcity,edge_flux,2.1.2.0->2.1.2.1,0.0023005118165597732,0.0023900295750758273
4,scarcity,edge_flux,2.1.2.1->2.1.1.1,0.008505681271215842,0.00883665523821326
4,scarcity,edge_flux,2.1.2.1->2.1.2.0,0.0031613191060096313,0.003284332688590204
4,scarcity,edge_flux,2.1.2.1->2.1.2.1,0.09485884072523205,0.09854999794339084
4,scarcity,edge_flux,2.1.2.1->2.2.1.1,0.0033561338163796807,0.0034867280495236397
4,scarcity,edge_flux,2.1.2.1->2.2.2.1,0.0016271718703782356,0.0016904885538693288
4,scarcity,edge_flux,2.1.2.2->2.1.1.2,0.020560666069533613,0.02136072487683595
4,scarcity,edge_flux,2.1.2.2->2.1.2.2,0.009972320614526822,0.010360364606385486
4,scarcity,edge_flux,2.2.0.2->2.1.0.2,0.0019923893184529027,0.002069917381814884
4,scarcity,edge_flux,2.2.0.2->2.2.0.2,0.004680313267969181,0.0048624341116378245
4,scarcity,edge_flux,2.2.1.0->2.2.1.0,0.0,0.0
4,scarcity,edge_flux,2.2.1.1->2.1.1.1,0.0014749827335770057,0.001532377417320533
4,scarcity,edge_flux,2.2.1.1->2.2.1.1,0.01037554850537405,0.01077928294346297
4,scarcity,edge_flux,2.2.1.1->2.2.2.1,0.001762453600006756,0.0018310343804337345
4,scarcity,edge_flux,2.2.1.1->3.2.2.1,0.0025654688180163183,0.002665296611326714
4,scarcity,edge_flux,2.2.1.2->2.2.1.2,0.0021589027082305734,0.0022429101581831865
4,scarcity,edge_flux,2.2.2.1->2.2.2.1,0.022888009798345148,0.023778630450363915
4,scarcity,edge_flux,2.2.2.2->2.2.2.2,0.00901189626978469,0.00936256812821344
4,scarcity,edge_flux,3.1.1.1->3.1.1.1,0.0,0.0
4,scarcity,edge_flux,3.2.2.1->3.2.2.1,0.006439371706406827,0.006689941217617274
