condition,seed,step,population,lineageCount,dominantFounderId,dominantFraction,lineageHHI
neutral_bottleneck_mutable,14029,245,12,4,29,0.25,0.25
neutral_bottleneck_mutable,14029,250,13,4,54,0.3076923076923077,0.25443786982248523
neutral_bottleneck_mutable,14029,255,15,4,54,0.3333333333333333,0.26222222222222225
neutral_bottleneck_mutable,14029,260,16,4,54,0.3125,0.2578125
neutral_bottleneck_mutable,14029,265,16,4,54,0.3125,0.2578125
neutral_bottleneck_mutable,14029,270,16,4,54,0.3125,0.2578125
neutral_bottleneck_mutable,14029,275,17,4,39,0.29411764705882354,0.2595155709342561
neutral_bottleneck_mutable,14029,280,18,4,39,0.2777777777777778,0.25308641975308643
neutral_bottleneck_mutable,14029,285,19,4,54,0.3157894736842105,0.25761772853185594
neutral_bottleneck_mutable,14029,290,19,4,54,0.3157894736842105,0.25761772853185594
neutral_bottleneck_mutable,14029,295,20,4,29,0.25,0.25
neutral_bottleneck_mutable,14029,300,20,4,29,0.25,0.25
neutral_bottleneck_mutable,14029,305,20,4,29,0.25,0.25
neutral_bottleneck_mutable,14029,310,20,4,29,0.25,0.25
neutral_bottleneck_mutable,14029,315,19,4,39,0.2631578947368421,0.2520775623268698
neutral_bottleneck_mutable,14029,320,19,4,39,0.2631578947368421,0.2520775623268698
neutral_bottleneck_mutable,14029,325,18,4,54,0.2777777777777778,0.25308641975308643
neutral_bottleneck_mutable,14029,330,18,4,54,0.2777777777777778,0.25308641975308643
neutral_bottleneck_mutable,14029,335,18,4,54,0.2777777777777778,0.25308641975308643
neutral_bottleneck_mutable,14029,339,17,4,57,0.29411764705882354,0.25259515570934254
scarcity_mutable,14041,179,58,28,55,0.10344827586206896,0.054696789536266346
scarcity_mutable,14041,180,58,28,55,0.10344827586206896,0.054696789536266346
scarcity_mutable,14041,185,57,27,55,0.10526315789473684,0.05632502308402585
scarcity_mutable,14041,190,55,26,55,0.10909090909090909,0.05917355371900826
scarcity_mutable,14041,195,53,26,55,0.11320754716981132,0.058739765040939834
scarcity_mutable,14041,200,51,24,55,0.11764705882352941,0.06266820453671665
scarcity_mutable,14041,205,50,23,55,0.12,0.0648
scarcity_mutable,14041,210,50,23,55,0.12,0.0648
scarcity_mutable,14041,215,47,23,55,0.10638297872340426,0.06111362607514712
scarcity_mutable,14041,220,46,23,55,0.10869565217391304,0.062381852551984876
scarcity_mutable,14041,225,46,23,55,0.10869565217391304,0.062381852551984876
scarcity_mutable,14041,230,41,19,55,0.12195121951219512,0.07198096371207614
scarcity_mutable,14041,235,38,18,55,0.13157894736842105,0.07894736842105263
scarcity_mutable,14041,240,37,17,55,0.13513513513513514,0.08254200146092039
scarcity_mutable,14041,245,34,17,2,0.11764705882352941,0.0795847750865052
scarcity_mutable,14041,250,31,17,2,0.12903225806451613,0.07804370447450572
scarcity_mutable,14041,255,28,15,2,0.14285714285714285,0.08928571428571427
scarcity_mutable,14041,260,27,14,2,0.14814814814814814,0.09465020576131687
scarcity_mutable,14041,265,27,14,2,0.14814814814814814,0.09465020576131687
scarcity_mutable,14041,270,23,13,55,0.17391304347826086,0.1001890359168242
scarcity_mutable,14041,275,22,13,2,0.13636363636363635,0.09504132231404958
scarcity_mutable,14041,280,22,13,2,0.13636363636363635,0.09504132231404958
scarcity_mutable,14041,285,19,13,55,0.15789473684210525,0.09141274238227146
scarcity_mutable,14041,290,17,13,2,0.11764705882352941,0.08650519031141869
scarcity_mutable,14041,295,15,11,2,0.13333333333333333,0.10222222222222223
scarcity_mutable,14041,300,11,9,2,0.18181818181818182,0.12396694214876033
scarcity_mutable,14041,305,11,9,2,0.18181818181818182,0.12396694214876033
scarcity_mutable,14041,310,10,8,2,0.2,0.14
scarcity_mutable,14041,315,10,8,2,0.2,0.14
scarcity_mutable,14041,320,10,8,2,0.2,0.14
scarcity_mutable,14041,325,9,7,2,0.2222222222222222,0.16049382716049382
scarcity_mutable,14041,330,7,6,14,0.2857142857142857,0.18367346938775508
scarcity_mutable,14041,335,7,6,14,0.2857142857142857,0.18367346938775508
scarcity_mutable,14041,339,7,6,14,0.2857142857142857,0.18367346938775508
neutral_bottleneck_mutable,14041,179,58,28,55,0.10344827586206896,0.054696789536266346
neutral_bottleneck_mutable,14041,180,7,6,10,0.2857142857142857,0.18367346938775508
neutral_bottleneck_mutable,14041,185,7,6,10,0.2857142857142857,0.18367346938775508
neutral_bottleneck_mutable,14041,190,8,6,10,0.25,0.1875
neutral_bottleneck_mutable,14041,195,8,6,10,0.25,0.1875
neutral_bottleneck_mutable,14041,200,8,6,10,0.25,0.1875
neutral_bottleneck_mutable,14041,205,13,6,10,0.23076923076923078,0.1715976331360947
neutral_bottleneck_mutable,14041,210,14,6,10,0.21428571428571427,0.173469387755102
neutral_bottleneck_mutable,14041,215,15,6,10,0.26666666666666666,0.18222222222222223
neutral_bottleneck_mutable,14041,220,15,6,10,0.26666666666666666,0.18222222222222223
neutral_bottleneck_mutable,14041,225,17,6,10,0.23529411764705882,0.17647058823529413
neutral_bottleneck_mutable,14041,230,19,6,10,0.21052631578947367,0.16897506925207756
neutral_bottleneck_mutable,14041,235,19,6,10,0.21052631578947367,0.16897506925207756
neutral_bottleneck_mutable,14041,240,20,6,10,0.2,0.17
neutral_bottleneck_mutable,14041,245,20,6,10,0.2,0.17
neutral_bottleneck_mutable,14041,250,20,6,10,0.2,0.17
neutral_bottleneck_mutable,14041,255,20,6,10,0.2,0.17
neutral_bottleneck_mutable,14041,260,22,6,10,0.18181818181818182,0.16942148760330578
neutral_bottleneck_mutable,14041,265,23,6,10,0.21739130434782608,0.17202268431001888
neutral_bottleneck_mutable,14041,270,23,6,10,0.21739130434782608,0.17202268431001888
neutral_bottleneck_mutable,14041,275,29,6,10,0.27586206896551724,0.18192627824019025
neutral_bottleneck_mutable,14041,280,29,6,10,0.27586206896551724,0.18192627824019025
neutral_bottleneck_mutable,14041,285,28,6,10,0.2857142857142857,0.18367346938775508
neutral_bottleneck_mutable,14041,290,28,6,10,0.25,0.1760204081632653
neutral_bottleneck_mutable,14041,295,27,6,10,0.2962962962962963,0.18792866941015088
neutral_bottleneck_mutable,14041,300,26,6,10,0.3076923076923077,0.19230769230769235
neutral_bottleneck_mutable,14041,305,25,6,10,0.32,0.1968
neutral_bottleneck_mutable,14041,310,25,6,10,0.32,0.1968
neutral_bottleneck_mutable,14041,315,25,6,10,0.32,0.1968
neutral_bottleneck_mutable,14041,320,25,6,10,0.32,0.1968
neutral_bottleneck_mutable,14041,325,26,6,10,0.3076923076923077,0.19230769230769235
neutral_bottleneck_mutable,14041,330,27,6,10,0.3333333333333333,0.20164609053497942
neutral_bottleneck_mutable,14041,335,27,6,10,0.3333333333333333,0.20164609053497942
neutral_bottleneck_mutable,14041,339,27,6,10,0.2962962962962963,0.18792866941015088
scarcity_mutable,14057,179,54,22,47,0.14814814814814814,0.08641975308641975
scarcity_mutable,14057,180,54,22,47,0.14814814814814814,0.08641975308641975
scarcity_mutable,14057,185,52,21,28,0.1346153846153846,0.08727810650887574
scarcity_mutable,14057,190,50,20,28,0.14,0.09280000000000001
scarcity_mutable,14057,195,50,20,28,0.14,0.09280000000000001
scarcity_mutable,14057,200,45,19,47,0.15555555555555556,0.09432098765432098
scarcity_mutable,14057,205,40,15,47,0.175,0.11499999999999999
scarcity_mutable,14057,210,36,13,47,0.19444444444444445,0.125
scarcity_mutable,14057,215,36,13,47,0.19444444444444445,0.125
scarcity_mutable,14057,220,34,13,28,0.17647058823529413,0.12283737024221456
scarcity_mutable,14057,225,33,12,28,0.18181818181818182,0.12947658402203857
scarcity_mutable,14057,230,33,12,28,0.18181818181818182,0.12947658402203857
scarcity_mutable,14057,235,31,12,28,0.1935483870967742,0.13215400624349635
scarcity_mutable,14057,240,31,12,28,0.1935483870967742,0.13215400624349635
scarcity_mutable,14057,245,27,11,28,0.18518518518518517,0.13305898491083673
scarcity_mutable,14057,250,25,11,28,0.2,0.1264
scarcity_mutable,14057,255,23,11,47,0.17391304347826086,0.11909262759924384
scarcity_mutable,14057,260,21,11,47,0.19047619047619047,0.11564625850340135
scarcity_mutable,14057,265,20,11,28,0.15,0.11
scarcity_mutable,14057,270,19,11,28,0.15789473684210525,0.1080332409972299
scarcity_mutable,14057,275,17,10,28,0.17647058823529413,0.11418685121107267
scarcity_mutable,14057,280,16,9,28,0.1875,0.125
scarcity_mutable,14057,285,15,9,28,0.2,0.1288888888888889
scarcity_mutable,14057,290,13,7,28,0.23076923076923078,0.15976331360946747
scarcity_mutable,14057,295,11,7,28,0.2727272727272727,0.17355371900826444
scarcity_mutable,14057,300,10,7,28,0.3,0.18000000000000002
scarcity_mutable,14057,305,9,7,28,0.2222222222222222,0.16049382716049382
scarcity_mutable,14057,310,8,6,28,0.25,0.1875
scarcity_mutable,14057,315,7,5,28,0.2857142857142857,0.22448979591836732
scarcity_mutable,14057,320,6,5,68,0.3333333333333333,0.2222222222222222
scarcity_mutable,14057,325,6,5,68,0.3333333333333333,0.2222222222222222
scarcity_mutable,14057,330,6,5,68,0.3333333333333333,0.2222222222222222
scarcity_mutable,14057,335,5,5,12,0.2,0.20000000000000004
scarcity_mutable,14057,339,5,5,12,0.2,0.20000000000000004
neutral_bottleneck_mutable,14057,179,54,22,47,0.14814814814814814,0.08641975308641975
neutral_bottleneck_mutable,14057,180,5,5,25,0.2,0.20000000000000004
neutral_bottleneck_mutable,14057,185,5,5,25,0.2,0.20000000000000004
neutral_bottleneck_mutable,14057,190,6,5,61,0.3333333333333333,0.2222222222222222
neutral_bottleneck_mutable,14057,195,7,5,50,0.2857142857142857,0.22448979591836732
neutral_bottleneck_mutable,14057,200,8,5,47,0.25,0.21875
neutral_bottleneck_mutable,14057,205,10,5,25,0.2,0.20000000000000004
neutral_bottleneck_mutable,14057,210,10,5,25,0.2,0.20000000000000004
neutral_bottleneck_mutable,14057,215,11,5,68,0.2727272727272727,0.20661157024793386
neutral_bottleneck_mutable,14057,220,12,5,50,0.25,0.20833333333333331
neutral_bottleneck_mutable,14057,225,13,5,50,0.23076923076923078,0.20710059171597636
neutral_bottleneck_mutable,14057,230,14,5,47,0.21428571428571427,0.2040816326530612
neutral_bottleneck_mutable,14057,235,15,5,61,0.26666666666666666,0.2088888888888889
neutral_bottleneck_mutable,14057,240,16,5,61,0.25,0.203125
neutral_bottleneck_mutable,14057,245,17,5,61,0.23529411764705882,0.20415224913494812
neutral_bottleneck_mutable,14057,250,17,5,61,0.23529411764705882,0.20415224913494812
neutral_bottleneck_mutable,14057,255,17,5,61,0.23529411764705882,0.20415224913494812
neutral_bottleneck_mutable,14057,260,18,5,25,0.2222222222222222,0.2037037037037037
neutral_bottleneck_mutable,14057,265,20,5,25,0.2,0.20000000000000004
neutral_bottleneck_mutable,14057,270,20,5,25,0.2,0.20000000000000004
neutral_bottleneck_mutable,14057,275,20,5,25,0.2,0.20000000000000004
neutral_bottleneck_mutable,14057,280,21,5,61,0.23809523809523808,0.20181405895691606
neutral_bottleneck_mutable,14057,285,21,5,61,0.23809523809523808,0.20181405895691606
neutral_bottleneck_mutable,14057,290,20,5,68,0.25,0.20500000000000002
neutral_bottleneck_mutable,14057,295,21,5,47,0.23809523809523808,0.20634920634920634
neutral_bottleneck_mutable,14057,300,21,5,47,0.23809523809523808,0.20634920634920634
neutral_bottleneck_mutable,14057,305,21,5,47,0.23809523809523808,0.20634920634920634
neutral_bottleneck_mutable,14057,310,21,5,47,0.23809523809523808,0.20634920634920634
neutral_bottleneck_mutable,14057,315,21,5,47,0.23809523809523808,0.20634920634920634
neutral_bottleneck_mutable,14057,320,21,5,47,0.23809523809523808,0.20634920634920634
neutral_bottleneck_mutable,14057,325,21,5,47,0.23809523809523808,0.20634920634920634
neutral_bottleneck_mutable,14057,330,21,5,47,0.23809523809523808,0.20634920634920634
neutral_bottleneck_mutable,14057,335,22,5,47,0.22727272727272727,0.2024793388429752
neutral_bottleneck_mutable,14057,339,23,5,47,0.21739130434782608,0.20226843100189035
scarcity_mutable,14071,179,51,22,7,0.17647058823529413,0.07650903498654364
scarcity_mutable,14071,180,51,22,7,0.17647058823529413,0.07650903498654364
scarcity_mutable,14071,185,52,22,7,0.17307692307692307,0.07470414201183433
scarcity_mutable,14071,190,51,22,7,0.1568627450980392,0.07112648981161092
scarcity_mutable,14071,195,50,22,7,0.16,0.0728
scarcity_mutable,14071,200,49,22,7,0.14285714285714285,0.06955435235318617
scarcity_mutable,14071,205,45,19,7,0.15555555555555556,0.07654320987654321
scarcity_mutable,14071,210,45,19,7,0.15555555555555556,0.07654320987654321
scarcity_mutable,14071,215,42,17,7,0.16666666666666666,0.08503401360544217
scarcity_mutable,14071,220,39,17,7,0.1794871794871795,0.0861275476660092
scarcity_mutable,14071,225,37,16,7,0.1891891891891892,0.09276844411979548
scarcity_mutable,14071,230,36,16,7,0.19444444444444445,0.0941358024691358
scarcity_mutable,14071,235,33,14,7,0.21212121212121213,0.10743801652892564
scarcity_mutable,14071,240,31,14,7,0.22580645161290322,0.109261186264308
scarcity_mutable,14071,245,25,13,7,0.2,0.10400000000000001
scarcity_mutable,14071,250,23,13,7,0.21739130434782608,0.10775047258979206
scarcity_mutable,14071,255,22,13,7,0.18181818181818182,0.09917355371900827
scarcity_mutable,14071,260,21,13,7,0.19047619047619047,0.1020408163265306
scarcity_mutable,14071,265,17,10,7,0.17647058823529413,0.12110726643598617
scarcity_mutable,14071,270,15,10,7,0.2,0.12000000000000001
scarcity_mutable,14071,275,14,10,7,0.21428571428571427,0.12244897959183672
