stepStart,stepEnd,totalVector,withinVector,reweightingVector,totalNorm,withinNorm,reweightingNorm,decompositionError,lineageTurnoverTV,lineageCountStart,lineageCountEnd,condition,seed
335,339,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,scarcity_mutable,14003
179,180,"[0.016360171395076062,0.0005526618556023211,-0.03588036241631848,-0.05120675246499018]","[-0.012674542102089431,0.0015831792334246707,-0.006972287268396458,0.002811324809300112]","[0.02903471349716559,-0.0010305173778224104,-0.02890807514792204,-0.054018077274290255]",0.06463352495679035,0.014821160916716826,0.0678063863887288,1.214925819315949e-16,0.8545454545454542,27,3,neutral_bottleneck_mutable,14003
180,185,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
185,190,"[-0.02993642862161916,-0.0517735185478545,0.010785226756990285,-0.024097691647471164]","[-0.0002570807462159754,-0.0003785692711059362,6.220702076763692e-06,-0.015291555725411575]","[-0.029679347875403134,-0.05139494927674854,0.01077900605491354,-0.008806135922059546]",0.06537359436636962,0.015298402544174423,0.060959326627501406,7.238184373059934e-17,0.16666666666666666,3,3,neutral_bottleneck_mutable,14003
190,195,"[0.032638895069985185,0.063091382431817,-0.010396452567657533,0.0007022156211767827]","[0.004343174847084119,0.00766377326121987,0.0013688836111391336,-0.0005668586047607977]","[0.028295720222901104,0.05542760917059723,-0.01176533617879667,0.001269074225937597]",0.07179414559222408,0.008932623319628422,0.06334746503288202,1.0453693833988007e-16,0.15,3,3,neutral_bottleneck_mutable,14003
195,200,"[-0.004229351702336737,-0.009314291531797025,-0.0034387986047340613,0.018665544696516267]","[-0.004620607169359659,-0.004443081999093993,-0.0035671873343797364,0.006467765353065206]","[0.00039125546702285796,-0.004871209532703067,0.00012838872964564263,0.012197779343451062]",0.021560875149745938,0.009779969448064797,0.01314093100694901,7.988326265650336e-17,0.13333333333333336,3,3,neutral_bottleneck_mutable,14003
200,205,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
205,210,"[-0.016176081213191584,-0.02885447154634524,0.009195665643214501,-0.02048570861632576]","[0.0005548275491106099,0.0007882894563190197,0.0023103057452855042,-0.01123033127557605]","[-0.016730908762302238,-0.029642761002664306,0.0068853598979290165,-0.00925537734074968]",0.03998087862678128,0.011505958763704856,0.035940044219745046,7.435066101588464e-17,0.09523809523809523,3,3,neutral_bottleneck_mutable,14003
210,215,"[0.00685764185778126,0.02627975259016735,-0.013985921326808426,0.0073549891334583894]","[-0.00911083853127142,-0.006245449277892195,-0.006643784280080269,0.0057775837339582034]","[0.015968480389052783,0.032525201868059565,-0.007342137046728125,0.0015774053995002025]",0.031422197704218065,0.014125627730786487,0.037003733685952535,1.1025051394343179e-16,0.08928571428571427,3,3,neutral_bottleneck_mutable,14003
215,220,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
220,225,"[0.003916859217759083,0.0015637333300161371,-6.603601024934846e-05,0.0025521826736882858]","[0.002892630925236764,0.004025853725478455,-0.00015239964989778354,-0.005758927108303039]","[0.001024228292522321,-0.002462120395462345,8.636363964844782e-05,0.008311109781991304]",0.0049300147275309425,0.007600215719347802,0.008728865042118575,3.635397141118663e-17,0.08333333333333334,3,3,neutral_bottleneck_mutable,14003
225,230,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
230,235,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
235,240,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
240,245,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
245,250,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
250,255,"[0.00828712806769627,0.022522968320715375,-0.0018535764395414267,0.0023218424761781153]","[-0.0015008456884504622,0.00046061224786370835,0.0035821334749671922,0.0008491530417761592]","[0.009787973756146756,0.022062356072851664,-0.005435709914508596,0.0014726894344019806]",0.02418237564193716,0.0040021797241329175,0.024784425395421184,4.147268178118183e-17,0.06666666666666668,3,3,neutral_bottleneck_mutable,14003
255,260,"[-0.011497673312288903,-0.02232171716034209,0.000849013887079475,-0.014153925055986616]","[-0.0006174676281104195,-0.0014854741462903985,-0.00411548032865256,-0.00659564530078231]","[-0.010880205684178534,-0.02083624301405166,0.004964494215731981,-0.0075582797552043585]",0.028835914545118396,0.00793899332285394,0.02518534681807292,9.710191165609288e-17,0.06363636363636366,3,3,neutral_bottleneck_mutable,14003
260,265,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
265,270,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,neutral_bottleneck_mutable,14003
