seed,dimension,sign,center_unit,mutant_unit,actual_step_unit,initial_mutant_fraction,final_mutant_fraction,frequency_change,extinct,final_population
14137,hazard_avoidance,-1,0.4227668777650235,0.3627668777650235,0.06,0.09523809523809523,0.0,-0.09523809523809523,False,4
14137,hazard_avoidance,1,0.4227668777650235,0.48276687776502347,0.06,0.09523809523809523,0.0,-0.09523809523809523,False,7
14137,exploration,-1,0.45105292214298903,0.39105292214298903,0.06,0.09523809523809523,0.0,-0.09523809523809523,False,5
14137,exploration,1,0.45105292214298903,0.511052922142989,0.06,0.09523809523809523,0.0,-0.09523809523809523,False,7
14137,reproduction_threshold,-1,0.4147366338521382,0.3547366338521382,0.06,0.09523809523809523,0.0,-0.09523809523809523,False,5
14137,reproduction_threshold,1,0.4147366338521382,0.4747366338521382,0.06,0.09523809523809523,0.0,-0.09523809523809523,False,5
14153,forage_weight,-1,0.5515619545048278,0.4915619545048278,0.06,0.10666666666666667,0.0,-0.10666666666666667,False,5
14153,forage_weight,1,0.5515619545048278,0.6115619545048279,0.06000000000000005,0.10666666666666667,0.0,-0.10666666666666667,False,6
14153,hazard_avoidance,-1,0.4165617064265176,0.3565617064265176,0.06,0.10666666666666667,0.0,-0.10666666666666667,False,7
14153,hazard_avoidance,1,0.4165617064265176,0.4765617064265176,0.06,0.10666666666666667,0.0,-0.10666666666666667,False,5
14153,exploration,-1,0.4245912999912827,0.3645912999912827,0.06,0.10666666666666667,0.0,-0.10666666666666667,False,7
14153,exploration,1,0.4245912999912827,0.4845912999912827,0.06,0.10666666666666667,0.0,-0.10666666666666667,False,5
14153,reproduction_threshold,-1,0.4065169479739476,0.3465169479739476,0.06,0.10666666666666667,0.125,0.018333333333333326,False,8
14153,reproduction_threshold,1,0.4065169479739476,0.4665169479739476,0.06,0.10666666666666667,0.14285714285714285,0.036190476190476176,False,7
14173,forage_weight,-1,0.532878941878885,0.47287894187888496,0.06,0.10714285714285714,0.0,-0.10714285714285714,False,5
14173,forage_weight,1,0.532878941878885,0.5928789418788849,0.05999999999999994,0.10714285714285714,0.0,-0.10714285714285714,False,7
14173,hazard_avoidance,-1,0.3872769696348363,0.3272769696348363,0.06,0.10714285714285714,0.0,-0.10714285714285714,False,6
14173,hazard_avoidance,1,0.3872769696348363,0.4472769696348363,0.06,0.10714285714285714,0.0,-0.10714285714285714,False,5
14173,exploration,-1,0.40097604092953604,0.34097604092953604,0.06,0.10714285714285714,0.0,-0.10714285714285714,False,4
14173,exploration,1,0.40097604092953604,0.46097604092953604,0.06,0.10714285714285714,0.0,-0.10714285714285714,False,6
14173,reproduction_threshold,-1,0.41838346747777744,0.35838346747777744,0.06,0.10714285714285714,0.0,-0.10714285714285714,False,5
14173,reproduction_threshold,1,0.41838346747777744,0.47838346747777744,0.06,0.10714285714285714,0.0,-0.10714285714285714,False,5
