cadenceSteps,condition,seed,founderId,stepStart,stepEnd,deltaP,midpointCell,fluxMagnitude,sourceCell,targetCell
5,scarcity_mutable,14003,45,210,215,0.0011344299489506535,1.1.2.1,0.0,1.1.2.1,1.1.2.1
5,scarcity_mutable,14003,46,210,215,0.002268859897901307,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,47,210,215,0.0034032898468519535,1.0.1.1,0.0,1.0.1.1,1.0.1.1
5,scarcity_mutable,14003,51,210,215,0.0011344299489506535,1.2.2.1,0.0,1.2.2.1,1.2.2.1
5,scarcity_mutable,14003,52,210,215,0.0011344299489506535,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,54,210,215,-0.020986954055587065,2.1.1.1,0.0011645255994539613,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,58,210,215,-0.02212138400453772,2.1.1.1,0.001508361583262428,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,60,210,215,0.002268859897901307,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,68,210,215,0.0,2.1.1.2,0.0,2.1.1.2,2.1.1.2
5,scarcity_mutable,14003,69,210,215,0.0011344299489506535,2.1.2.1,0.0,2.1.2.1,2.1.2.1
5,scarcity_mutable,14003,1,215,220,0.0019255455712451838,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,3,215,220,0.0019255455712451838,2.2.1.2,0.0,2.2.1.2,2.2.1.2
5,scarcity_mutable,14003,4,215,220,0.0019255455712451838,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,13,215,220,0.0019255455712451838,1.1.1.2,0.0,1.1.1.2,1.1.1.2
5,scarcity_mutable,14003,17,215,220,-0.02246469833119384,2.1.1.1,0.0008650994877765772,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,20,215,220,0.0019255455712451838,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,21,215,220,0.0019255455712451838,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,23,215,220,0.005776636713735558,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,25,215,220,0.005776636713735558,1.1.0.1,0.0,1.1.0.1,1.1.0.1
5,scarcity_mutable,14003,26,215,220,0.009627727856225926,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,33,215,220,0.009627727856225926,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,39,215,220,0.0019255455712451838,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,41,215,220,0.0038510911424903677,1.1.1.0,0.0,1.1.1.0,1.1.1.0
