from_rule,to_rule,syntactic_distance,observable_distance,observer_id
60,62,0.125,0.0638001506380892,OBSERVER-EBID-CORE
60,124,0.125,0.04091146504989522,OBSERVER-EBID-CORE
60,188,0.125,0.16256091216973953,OBSERVER-EBID-CORE
61,63,0.125,0.08393766896477636,OBSERVER-EBID-CORE
61,125,0.125,0.025350734074493127,OBSERVER-EBID-CORE
61,189,0.125,0.12570544191089184,OBSERVER-EBID-CORE
62,63,0.125,0.1510173408868893,OBSERVER-EBID-CORE
62,126,0.125,0.16623129568223372,OBSERVER-EBID-CORE
62,190,0.125,0.17230095502734305,OBSERVER-EBID-CORE
63,127,0.125,0.11883967547356225,OBSERVER-EBID-CORE
63,191,0.125,0.14266467067680405,OBSERVER-EBID-CORE
64,65,0.125,0.46454754500619344,OBSERVER-EBID-CORE
64,66,0.125,0.36320694023315275,OBSERVER-EBID-CORE
64,68,0.125,0.43376995969529836,OBSERVER-EBID-CORE
64,72,0.125,0.2638034171462842,OBSERVER-EBID-CORE
64,80,0.125,0.40463767859498173,OBSERVER-EBID-CORE
64,96,0.125,0.007048186752661908,OBSERVER-EBID-CORE
64,192,0.125,0.005255592594130698,OBSERVER-EBID-CORE
65,67,0.125,0.046783238370786025,OBSERVER-EBID-CORE
65,69,0.125,0.22822356806798128,OBSERVER-EBID-CORE
65,73,0.125,0.08348396558074747,OBSERVER-EBID-CORE
65,81,0.125,0.01785351850575823,OBSERVER-EBID-CORE
65,97,0.125,0.19747279472058993,OBSERVER-EBID-CORE
65,193,0.125,0.09197409397564218,OBSERVER-EBID-CORE
66,67,0.125,0.13243131157949778,OBSERVER-EBID-CORE
66,70,0.125,0.24840005583703734,OBSERVER-EBID-CORE
66,74,0.125,0.09049237191820528,OBSERVER-EBID-CORE
66,82,0.125,0.14191916518619538,OBSERVER-EBID-CORE
66,98,0.125,0.20312598753323627,OBSERVER-EBID-CORE
66,194,0.125,0.013546003305204533,OBSERVER-EBID-CORE
67,71,0.125,0.1030753868723978,OBSERVER-EBID-CORE
67,75,0.125,0.1781791923197639,OBSERVER-EBID-CORE
67,83,0.125,0.043928054855601424,OBSERVER-EBID-CORE
