condition,cellId,fluxMagnitude,netFluxVector,directionalPersistence,abundanceTurnoverMass
neutral_bottleneck_mutable,1.2.2.2,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.19147186147186146
neutral_bottleneck_mutable,2.0.1.1,0.009367514518362777,"[-0.001194142632104104,-0.0029182718918835675,-0.0029087929772364626,0.004882007359168977]",0.6937835643760843,0.23143297380585517
neutral_bottleneck_mutable,2.0.2.1,0.037417559017199384,"[0.000586058092870398,-0.0030282929439258747,0.007245309361722762,-0.006268889935762197]",0.2689957202660447,0.7295152995152996
neutral_bottleneck_mutable,2.1.0.0,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.08571428571428572
neutral_bottleneck_mutable,2.1.0.1,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.22139433551198257
neutral_bottleneck_mutable,2.1.0.2,0.07220259255707034,"[-0.02236800370720931,-0.004441257549843898,0.003266165999284379,-0.0133343817876348]",0.3686592068961397,1.4782614616205945
neutral_bottleneck_mutable,2.1.1.0,0.0417315393395123,"[0.022576692891014678,-0.004429927287794008,-0.0007638559376292044,-0.010441398895601906]",0.6057101061876453,0.7977978042808678
neutral_bottleneck_mutable,2.1.1.1,0.3735390421353303,"[-0.0384130900576313,-0.01862096087371617,-0.005532038355240791,-0.05267191515514763]",0.18210631276882724,9.855174445956965
neutral_bottleneck_mutable,2.1.1.2,0.1593029357474267,"[0.011950669518975988,-0.02223875879439045,-0.022737489187089927,0.01317228191082608]",0.22874740630396273,4.935870598192574
neutral_bottleneck_mutable,2.1.1.3,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.052941176470588235
neutral_bottleneck_mutable,2.1.2.0,0.032616972304970966,"[0.0069642803024585,0.004309884602099366,-0.006016234742557763,-0.004483907770354789]",0.34054392093802066,0.6325631436520728
neutral_bottleneck_mutable,2.1.2.1,0.17870535979567903,"[0.0042204961416915515,-0.0034601282922002616,0.021078139239897143,-0.007047324629493455]",0.1280617367266476,3.999239983269733
neutral_bottleneck_mutable,2.1.2.2,0.03582646377650256,"[0.005356036767989266,0.003388109734947598,0.013161626801256654,0.007699873783223352]",0.46091941659563856,0.7621133417320491
neutral_bottleneck_mutable,2.2.0.2,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.07142857142857142
neutral_bottleneck_mutable,2.2.1.0,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.01694915254237288
neutral_bottleneck_mutable,2.2.1.1,0.04553218766661734,"[-0.01980216327077771,-0.002791733111554117,-0.003801389381997699,0.005541733749292134]",0.4633412027356875,1.5396064322977108
neutral_bottleneck_mutable,2.2.1.2,0.004310696458257362,"[0.00038319286455067836,0.001122276989696702,-0.0021547682132317344,0.003400136236825161]",0.9734998111260551,0.26663535338983135
neutral_bottleneck_mutable,2.2.2.1,0.08459624515325505,"[0.013381707678691929,0.00918670774971004,0.003416046018849624,-0.0010854721958637923]",0.19649423971369057,0.8327211972617862
neutral_bottleneck_mutable,2.2.2.2,0.003245262301306802,"[0.001775508057049179,0.0003763192762295908,-0.0014426817520518927,0.0016192816928487026]",0.8714168072199286,0.4061959935489346
neutral_bottleneck_mutable,3.1.1.1,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.01639344262295082
